Nombre beneficiario;Nombre operación;Montante;pagado final;concesión/año
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO (3)- NAFSA 2010;1.199,85;1.199,85;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO2 - INTERSOLAR 2010 - MUNICH (ALEMANIA);6.509,42;6.509,42;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FORO HISPANO-EGIPCIO;5.256,42;5.256,42;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FORO HISPANO-EGIPCIO;17.168,97;17.168,97;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FP01 FOOD AND HOTEL CHINA 2010 - SHANGHAI;10.980,26;10.980,26;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO2 - SIAM 2010 - MEQUINEZ (MARRUECOS);1.061,74;1.061,74;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV PAÍSES BAJOS 2010;1.285,32;1.285,32;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO (4)- NAFSA 2010;3.617,06;3.617,06;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV JAPON 2010 - NEWSLETTER;693,61;693,61;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV2 JAPON 2010 - CATAS Y SEMINARIOS (PI);2.501,46;2.501,46;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV EEUU 2010 ACCESO USA BUSQUEDA DE DISTRIBUCION;2.151,38;2.151,38;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF6 - COSMOPROF 2010 - BOLONIA - ITALIA;2.115,13;2.115,13;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO10-FOOD - HOTEL ASIA´10-SINGAPUR-EQ. HOSTELERÍA;992,61;992,61;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV DINAMARCA - PUBLICIDAD 2010 (PU);1.003,94;1.003,94;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);MINV6 F.ALIMENTARIA 2010 BARCELONA(PC);5.309,75;5.309,75;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV EEUU 2010 GREAT MATCH;7.264,81;7.264,81;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV ALEMANIA 2010- PROM. CANAL HORECA Y COMERCIO;4.952,95;4.952,95;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV ALEMANIA 2010 CONC. MEJORES V. ESPAÑOLES ALEM.;4.063,97;4.063,97;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO5 VINEXPO ASIA-PACIFIC, Hong Kong (China);1.165,57;1.165,57;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FP03 SEOUL FOOD - HOTEL 2010;2.342,64;2.342,64;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO4 FOOD - HOTEL ASIA 2010 (SINGAPUR);3.067,63;3.067,63;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO6 SIAL 2010, PARIS (PC);2.954,11;2.954,11;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO3 ALIMENTARIA 2010 - MÉXICO;17.076,26;17.076,26;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FP06-LONDON WINE 2010 - LONDRES (PC);680,89;680,89;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO4 ALIMENTARIA 2010 - MÉXICO;525,16;525,16;2010
