Nombre beneficiario;Nombre operación;Montante;pagado final;concesión/año
Instituto Español de Comercio Exterior (ICEX) (MINECO);PROVISION Y GESTION DE CONTENIDOS;56.023,58;56.023,58;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF3 - SPIELWARENMESSE 2008 - NUREMBERG;5.835,76;5.835,76;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO2 - COLLECTION PREMIERE MOSCOW I - 2008;203.325,26;203.325,26;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);ACTIVIDADES COMUNICACIÓN REINO UNIDO - FAMO 2008;3.314,57;3.187,78;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPSM ACEITE DE OLIVA RUSIA 2010;11.128,68;11.128,68;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO5 ALIMENTARIA 2010 - MÉXICO;140,53;140,53;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO6 VINEXPO ASIA-PACIFIC, Hong Kong (China);1.956,87;1.956,87;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);DISTRIB. NEWSLETTER EE.UU 2010 - FAMO;1.300,37;1.300,37;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1 BIO INT.CONVENTION 2011-WASHINGTON DC(EE.UU.);14.173,78;14.173,78;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPSM ACEITE DE OLIVA REPÚBLICA CHECA 2010;3.512,07;3.512,07;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPSM ACEITE DE OLIVA INDIA 2010;2.212,21;2.212,21;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO(6)LICENSING INTERNATIONAL EXPO-10;2.135,59;2.135,59;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV2 JAPÓN 2010 - INSERCIÓN WINE KINGDOM (PC);3.951,22;3.951,22;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPROM2 DIRECTORIO/SEPARATA EMPRESAS EN MEXICO 2010;8.002,36;8.002,36;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO2 - COLLECTION PREMIERE II - MOSCU - 2010;9.705,82;9.705,82;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PLAN VENTA DERECHOS EDITORIAL EN FRANCIA 2010;2.733,82;2.733,82;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO5 FOOD - HOTEL ASIA 2010-SINGAPUR;232,31;232,31;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV SUIZA DIA DEL VINO Y KLEIN - FEIN 2011 (PU);8.211,05;8.211,05;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO (2) - CHINA EDUCATION EXPO 2010 - BEIJING;1.258,60;1.258,60;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV PAÍSES BAJOS 2010 - EVENTO CAVA (PI);9.648,60;9.648,60;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO4 COLLECTION PREMIERE II - MOSCU - 2010;5.301,87;5.301,87;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO 3 COSMOPROF ASIA 2010 - HONG KONG - CHINA;57.129,35;57.129,35;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF1-FRUITLOGISTICA 2011-XIX-BERLIN;5.807,71;5.807,71;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FP02 - HONG KONG INT. WINE AND SPIRITS FAIR 2010;20.484,60;20.484,60;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO7 SIAL PARIS 2010, PARIS (PC);6.929,74;6.929,74;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO 4 COSMOPROF ASIA 2010 - HONG KONG - CHINA;4.761,58;4.761,58;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1 - CABSAT 2011 - DUBAI (EAU);12.991,78;12.991,78;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF COSMOPROF 2011 - BOLONIA - ITALIA;1.948,50;1.948,50;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO2 - BIG FIVE SHOW 2010 - DUBAI (EAU);1.993,76;1.993,76;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO 1 - BIG FIVE SHOW 2010 - DUBAI (EAU);26.414,64;26.414,64;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO(1)LICENSING INTERNATIONAL EXPO-11;5.660,28;5.660,28;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1 POLLUTEC MAROC - CASABLANCA (MARRUECOS);46.240,67;46.240,67;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO7 GULFOOD 2010 - Dubai;1.379,22;1.379,22;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO CISMEF 2010(3)-GASTOS DECORACION;1.763,28;1.763,28;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO CISMEF 2010(4)-TRANSPORTE;1.054,08;1.054,08;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1 FOODEX 2010, TOKIO (PI);57.864,48;57.864,48;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1 PROWEIN 2011 - DÜSSELDORF;3.149,59;3.149,59;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO (3) - CHINA EDUCATION EXPO 2010 - BEIJING;4.067,98;4.067,98;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FP01 FERIA GULFOOD 2011 - DUBAI (PI);23.284,63;23.284,63;2010
